user_id,product_id,interaction
62460,46226,1
109402,5134,1
13442,18434,1
137411,40063,1
105564,24964,1
147654,24852,1
113573,46346,1
69725,11266,1
68802,19875,1
85309,1194,1
13306,35547,1
43268,48075,1
154166,34969,1
26903,42534,1
27710,26706,1
60101,25138,1
167415,13870,1
144518,33672,1
48337,21938,1
159714,25544,1
65503,34049,1
114593,24852,1
121053,21903,1
192937,29971,1
49993,24905,1
17871,41950,1
157064,21137,1
201943,30041,1
177567,15937,1
33821,7461,1
20066,19706,1
75552,18465,1
87067,11827,1
122786,47616,1
96404,23765,1
59268,16797,1
90699,34178,1
80127,33701,1
54156,24737,1
36975,5451,1
58301,1313,1
64983,37011,1
67467,7916,1
119836,40838,1
33706,43772,1
83354,31717,1
191879,37646,1
186740,39560,1
172758,22309,1
8020,47766,1
5887,3464,1
18577,20776,1
63336,9755,1
148810,18288,1
114179,5858,1
93618,33768,1
117625,8490,1
27073,47209,1
128580,32534,1
39933,23909,1
145559,1695,1
111102,17252,1
89885,45007,1
205134,31720,1
77330,15891,1
10267,39059,1
188973,26738,1
80830,27690,1
136378,14568,1
29363,9130,1
7556,23082,1
203282,17122,1
131091,32747,1
59778,41950,1
61745,13292,1
169481,26604,1
107024,24964,1
89338,35234,1
186387,8057,1
168467,4656,1
75523,1700,1
103336,5258,1
146619,48825,1
5767,13176,1
138493,15392,1
73261,21292,1
170449,35898,1
89684,1154,1
77330,35042,1
166618,8230,1
171621,48720,1
178981,33754,1
77330,27958,1
174118,25931,1
6692,44632,1
34984,31343,1
163829,29312,1
13917,11408,1
90065,30183,1
47397,21903,1
35159,35909,1
192638,18434,1
146809,12916,1
70583,5932,1
144691,36550,1
180244,14337,1
15796,49273,1
79977,19292,1
45338,8670,1
96573,45948,1
72918,25890,1
195820,1999,1
122786,1008,1
155660,36591,1
70771,19087,1
174228,5047,1
101520,4913,1
55254,25357,1
122437,45645,1
97991,11441,1
20801,40348,1
2614,25340,1
44107,8536,1
108837,21137,1
60101,10385,1
11739,5550,1
146365,39041,1
9383,32467,1
27453,5646,1
48337,24852,1
83298,40706,1
103336,3957,1
87209,34969,1
131091,48455,1
140,14573,1
146753,6184,1
77089,44910,1
186062,13249,1
178981,33787,1
168874,7001,1
61116,38996,1
75330,5450,1
174118,47209,1
87866,24521,1
10267,8460,1
26903,27801,1
116686,25931,1
174922,36735,1
196344,42796,1
95858,37229,1
28530,46243,1
158771,13838,1
90314,44632,1
72918,47788,1
187920,14992,1
83321,15904,1
164204,27104,1
166765,29311,1
80127,23102,1
8020,34466,1
192212,37646,1
68802,48679,1
9401,45840,1
178981,17948,1
191007,13380,1
109402,43352,1
39912,3793,1
69696,25588,1
10320,21413,1
15873,4605,1
137205,4799,1
17015,25346,1
545,25659,1
123866,24852,1
139569,22677,1
92884,12341,1
180135,13176,1
64453,47766,1
168902,1360,1
99668,39812,1
75552,1999,1
165993,6550,1
168917,35221,1
84232,16797,1
62199,10473,1
51773,24852,1
80830,45570,1
201233,46823,1
122786,10070,1
53986,28465,1
19502,23005,1
78387,5077,1
108921,47209,1
46343,27521,1
62451,5114,1
74789,28849,1
5869,28836,1
100024,260,1
195019,1942,1
131936,41950,1
69290,38557,1
60311,45051,1
56593,38777,1
9401,5994,1
36975,44471,1
158816,28204,1
9401,13790,1
196105,38454,1
74676,7676,1
20801,38579,1
29127,43772,1
186062,17679,1
204660,34126,1
26311,17341,1
112309,41844,1
45329,14197,1
158771,5450,1
83409,7781,1
162283,8012,1
188721,35042,1
169481,43889,1
195670,20339,1
72678,19019,1
180556,17368,1
158771,41117,1
26903,1875,1
47282,10032,1
197361,13176,1
11026,48335,1
94495,24427,1
26365,21137,1
126411,10853,1
137833,38273,1
44562,5603,1
98942,1364,1
152676,37646,1
117275,9387,1
99668,36550,1
162283,10492,1
178521,32033,1
35894,43961,1
187951,881,1
83349,47156,1
128580,19846,1
113573,40706,1
97693,33950,1
70778,28309,1
183114,6221,1
120950,49236,1
157679,39108,1
74789,3843,1
5869,12212,1
103269,8174,1
69680,17713,1
197361,17634,1
97693,44562,1
191007,15629,1
60443,24964,1
187890,39561,1
38522,29594,1
40163,47766,1
123157,17454,1
90065,4889,1
120950,20119,1
108541,41544,1
36975,21903,1
209,24852,1
78251,2078,1
191007,8811,1
15796,27966,1
29363,21376,1
473,42825,1
113124,41420,1
147654,36956,1
179639,9385,1
186387,25879,1
180060,21011,1
135040,21158,1
143353,47519,1
42139,22124,1
156185,34005,1
195820,22526,1
194344,8277,1
173890,48313,1
174228,41096,1
69375,6361,1
31147,2913,1
62460,47209,1
119490,26497,1
90065,34407,1
124066,34270,1
4733,34335,1
192212,39475,1
83864,25246,1
41871,13870,1
21451,16759,1
191642,40255,1
143285,45,1
108921,28207,1
197547,17008,1
165876,4796,1
204660,28842,1
56758,28535,1
25563,19613,1
204562,21267,1
78664,21194,1
137629,9387,1
98568,32982,1
82571,17341,1
187890,10644,1
72918,23592,1
4906,28079,1
68849,39108,1
26903,12019,1
187890,18352,1
1712,45064,1
61745,36939,1
26365,24928,1
104131,40459,1
70384,2350,1
204974,30450,1
29363,18618,1
53205,32650,1
1787,24852,1
14372,17878,1
173466,41408,1
134938,21376,1
133757,14992,1
205052,6740,1
82724,31296,1
20843,13517,1
52943,21292,1
9341,9020,1
163583,21616,1
105889,22035,1
119836,41950,1
141366,34234,1
16297,11441,1
97693,24097,1
192274,21376,1
15013,10691,1
174118,34358,1
11355,5450,1
83864,40709,1
98327,18070,1
46343,8424,1
161051,45061,1
201233,7673,1
70771,48220,1
169481,49044,1
